rank,name,city
399,University of Gour Banga,Malda
400,Odisha University of Agriculture and Technology,Bhubaneswar
401,XIM University,Harirajpur ...
402,Kerala University of Health Sciences,Thrissur
403,Babasaheb Bhimrao Ambedkar Bihar University,Muzaffarpur
404,The Indian Law Institute,New Delhi
405,Sage University,Indore
406,Ranchi University,Ranchi
407,IFHE Hyderabad,Hyderabad
408,Gujarat Ayurved University,Jamnagar
409,Dr. M.G.R. Educational and Research Institute,Chennai
410,Aliah University,Kolkata
411,Pandit Deendayal Upadhyaya Shekhawati University,Sikar
412,Indira Gandhi Institute of Medical Sciences,Patna
413,Rajasthan University of Veterinary and Animal Sciences,Bikaner
414,Ramakrishna Mission Vivekananda Educational and Research Institute,Belur ...
415,Dr. Balasaheb Sawant Konkan Krishi Vidyapeeth,Dapoli
416,Sri Krishnadevaraya University,Anantapur ...
417,Rayalaseema University,Kurnool
418,Central University of Jammu,Jammu
419,Mahatma Gandhi Antarrashtriya Hindi Vishwavidyalaya,Wardha
420,MIT Art Design and Technology University,Pune
421,Hidayatullah National Law University,Raipur
422,Central Institute of Fisheries Education,Mumbai
423,"National Institute of Technology, Puducherry",Karaikal
424,Rajiv Gandhi National University of Law,Patiala
425,JSS Academy of Higher Education and Research,Mysore ...
426,B.S. Abdur Rahman Crescent Institute of Science and Technology,Chennai
427,Rajiv Gandhi National Institute of Youth Development,Sriperumbudur
428,Madan Mohan Malaviya University of Technology,Gorakhpur
429,Maharshi Dayanand Saraswati University,Ajmer
430,Veer Kunwar Singh University,Arrah
431,Sardarkrushinagar Dantiwada Agricultural University,Palanpur
432,Vinoba Bhave University,Hazaribag
433,Rashtrasant Tukadoji Maharaj Nagpur University,Nagpur
434,Adikavi Nannaya University,Rajahmundry
435,Shreemati Nathibai Damodar Thackersey Women's University,Mumbai
436,Chandra Shekhar Azad University of Agriculture and Technology,Kanpur
437,Yenepoya University,Mangalore
438,"ICFAI University, Tripura",Agartala ...
439,Sri Padmavati Mahila Visvavidyalayam,Tirupati
440,K.R. Mangalam University,Gurgaon
441,Professor Jayashankar Telangana State Agricultural University,Hyderabad
442,Mahatma Phule Krishi Vidyapeeth,Rahuri
443,Dr. Babasaheb Ambedkar Technological University,Lonere
444,People's University,Bhopal
445,Kerala University of Fisheries and Ocean Studies,Kochi
446,"School of Planning and Architecture, Bhopal",Bhopal
447,"National Institute of Technology, Sikkim",Ravangla
448,Santosh University,Ghaziabad
449,Kaziranga University,Jorhat
450,Swarnim Gujarat Sports University,Gandhinagar ...
451,Sher-i-Kashmir Institute of Medical Sciences,Srinagar
452,"National Institute of Technology, Nagaland",Dimapur
453,"Sam Higginbottom Institute of Agriculture, Technology and Sciences",Allahabad
454,Jagran Lakecity University,Bhopal
455,"National Institute of Technology, Uttarakhand",Srinagar
456,Tamil University,Thanjavur
457,Chaudhary Devi Lal University,Sirsa
458,Kolhan University,Chaibasa
459,Cotton University,Guwahati
460,Presidency University,Bangalore
461,Central University of Himachal Pradesh,Kangra
462,Charotar University of Science and Technology,Anand
463,Palamuru University,Mahabubnagar
464,Central University of Odisha,Koraput
465,Tamil Nadu Dr. J. Jayalalithaa Fisheries University,Nagapattinam ...
466,Bodoland University,Kokrajhar
467,Jai Narain Vyas University,Jodhpur
468,Swami Vivekananda Yoga Anusandhana Samsthana,Bangalore
469,Lala Lajpat Rai University of Veterinary and Animal Sciences,Hisar
470,Shobhit Institute of Engineering and Technology,Meerut
471,Chaudhary Ranbir Singh University,Jind
472,ITM University Gwalior,Gwalior
473,"National Institute of Technology, Mizoram",Aizawl
474,KLE University,Belgaum ...
475,Rajmata Vijayaraje Scindia Krishi Vishwavidyalaya,Gwalior
